drug_id,drug_name,target,category,smiles,ic50_pred,efficacy,h1_verdict,lipinski_pass,h2a_verdict,safety_score,h2b_verdict,h2_verdict,tanimoto_max,tanimoto_best,h3_verdict,brca_targets,h4_verdict,h5_verdict,h6_verdict,final_verdict,match
1007,Docetaxel,Microtubule stabiliser,유방암_현재_사용,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,2.6363,Medium,PASS,True,WARNING,4.83,WARNING,WARNING,0.7843,Cabazitaxel,PASS,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,O
1080,Paclitaxel,Microtubule stabiliser,유방암_현재_사용,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.7054,Medium,PASS,True,WARNING,4.83,WARNING,WARNING,0.7115,Cabazitaxel,PASS,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,O
2048,Vinorelbine,Microtubule destabiliser,유방암_현재_사용,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,1.3675,Medium,PASS,True,WARNING,6.0,PASS,PASS,0.1586,Doxorubicin,WARNING,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,O
1511,Epirubicin,Anthracycline,유방암_현재_사용,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,2.8424,Medium,PASS,True,WARNING,2.83,FAIL,FAIL,1.0,Doxorubicin,PASS,,UNKNOWN,UNKNOWN,UNKNOWN,FAIL,X
1004,Vinblastine,Microtubule destabiliser,유방암_현재_사용,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1.4509,Medium,PASS,True,WARNING,5.83,WARNING,WARNING,0.1597,Doxorubicin,WARNING,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,O
1191,Bortezomib,Proteasome,적응증_확장_연구,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.9857,High,PASS,True,PASS,3.29,FAIL,FAIL,0.1333,Tamoxifen,WARNING,,UNKNOWN,UNKNOWN,UNKNOWN,FAIL,-
1084,Rapamycin,MTORC1,적응증_확장_연구,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,1.6423,Medium,PASS,True,WARNING,5.71,WARNING,WARNING,0.8727,Everolimus,PASS,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,-
1180,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",적응증_확장_연구,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,1.1735,Medium,PASS,True,PASS,10.0,PASS,PASS,0.1869,Abemaciclib,WARNING,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,-
1494,SN-38,TOP1,적응증_확장_연구,CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,1.0108,Medium,PASS,True,PASS,10.0,PASS,PASS,0.1515,Ribociclib,WARNING,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,-
1559,Luminespib,HSP90,적응증_확장_연구,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,1.1882,Medium,PASS,True,PASS,5.0,WARNING,WARNING,0.1837,Ribociclib,WARNING,,UNKNOWN,UNKNOWN,UNKNOWN,WARNING,-
