iter	Passed	Remaining
0	33	33125
1	60	30105
2	87	29222
3	115	28868
4	143	28580
5	171	28472
6	197	27988
7	224	27859
8	252	27795
9	280	27739
10	306	27534
11	332	27399
12	362	27499
13	387	27304
14	412	27084
15	441	27149
16	469	27128
17	497	27135
18	523	27052
19	552	27055
20	578	26985
21	605	26931
22	631	26821
23	659	26806
24	686	26763
25	712	26677
26	741	26714
27	767	26636
28	795	26632
29	824	26669
30	855	26732
31	885	26779
32	912	26734
33	938	26673
34	968	26709
35	993	26606
36	1019	26533
37	1045	26479
38	1073	26454
39	1102	26453
40	1128	26403
41	1155	26350
42	1184	26368
43	1211	26324
44	1240	26326
45	1267	26296
46	1293	26227
47	1320	26183
48	1348	26175
49	1379	26201
50	1403	26117
51	1430	26078
52	1458	26052
53	1483	25991
54	1511	25978
55	1541	25990
56	1568	25954
57	1598	25959
58	1624	25912
59	1651	25872
60	1677	25829
61	1702	25760
62	1728	25704
63	1753	25650
64	1781	25627
65	1806	25560
66	1833	25533
67	1864	25555
68	1894	25561
69	1923	25550
70	1951	25529
71	1977	25493
72	2008	25500
73	2036	25480
74	2064	25459
75	2090	25417
76	2118	25395
77	2146	25367
78	2174	25346
79	2200	25308
80	2226	25265
81	2252	25215
82	2277	25161
83	2302	25107
84	2330	25082
85	2361	25102
86	2388	25070
87	2415	25037
88	2444	25016
89	2474	25017
90	2498	24957
91	2525	24921
92	2554	24911
93	2581	24885
94	2610	24864
95	2637	24839
96	2660	24770
97	2688	24744
98	2714	24707
99	2742	24678
100	2767	24629
101	2793	24597
102	2822	24578
103	2848	24540
104	2875	24513
105	2901	24469
106	2929	24449
107	2958	24432
108	2986	24411
109	3013	24383
110	3040	24353
111	3070	24342
112	3098	24323
113	3124	24287
114	3152	24264
115	3178	24219
116	3201	24163
117	3227	24127
118	3252	24077
119	3278	24045
120	3307	24030
121	3336	24008
122	3363	23980
123	3391	23957
124	3420	23940
125	3449	23930
126	3475	23890
127	3504	23871
128	3529	23828
129	3559	23823
130	3586	23789
131	3610	23742
132	3637	23710
133	3666	23696
134	3693	23667
135	3719	23632
136	3745	23595
137	3773	23569
138	3802	23554
139	3830	23531
140	3857	23498
141	3884	23473
142	3914	23459
143	3942	23437
144	3968	23400
145	3996	23376
146	4022	23343
147	4048	23307
148	4077	23285
149	4106	23271
150	4136	23256
151	4160	23211
152	4187	23180
153	4211	23135
154	4238	23105
155	4265	23076
156	4289	23034
157	4316	23003
158	4345	22983
159	4370	22945
160	4395	22905
161	4422	22876
162	4447	22839
163	4475	22812
164	4502	22786
165	4527	22745
166	4554	22718
167	4582	22694
168	4610	22672
169	4639	22650
170	4663	22609
171	4689	22577
172	4713	22533
173	4740	22504
174	4766	22468
175	4791	22430
176	4819	22407
177	4846	22383
178	4872	22345
179	4896	22306
180	4925	22285
181	4954	22266
182	4981	22240
183	5009	22214
184	5038	22198
185	5065	22170
186	5092	22139
187	5118	22108
188	5145	22078
189	5169	22039
190	5196	22009
191	5223	21980
192	5249	21951
193	5277	21924
194	5306	21906
195	5333	21877
196	5360	21850
197	5384	21810
198	5415	21798
199	5445	21780
200	5475	21767
201	5502	21736
202	5528	21705
203	5555	21676
204	5582	21648
205	5608	21616
206	5631	21574
207	5661	21557
208	5688	21529
209	5716	21506
210	5741	21470
211	5770	21447
212	5797	21421
213	5824	21393
214	5855	21380
215	5884	21357
216	5913	21336
217	5940	21309
218	5967	21282
219	5993	21250
220	6023	21231
221	6053	21214
222	6077	21176
223	6104	21146
224	6133	21126
225	6160	21098
226	6185	21064
227	6212	21036
228	6241	21012
229	6266	20978
230	6290	20941
231	6315	20906
232	6343	20881
233	6374	20866
234	6401	20838
235	6430	20818
236	6456	20785
237	6483	20758
238	6508	20725
239	6533	20689
240	6559	20657
241	6585	20628
242	6614	20606
243	6638	20568
244	6669	20551
245	6696	20526
246	6725	20504
247	6752	20476
248	6780	20449
249	6809	20427
250	6837	20403
251	6866	20382
252	6893	20353
253	6921	20327
254	6950	20307
255	6979	20285
256	7010	20266
257	7037	20240
258	7065	20213
259	7096	20197
260	7128	20182
261	7155	20154
262	7182	20126
263	7210	20101
264	7237	20073
265	7264	20045
266	7293	20022
267	7319	19993
268	7349	19972
269	7375	19940
270	7404	19917
271	7430	19887
272	7458	19861
273	7488	19840
274	7517	19818
275	7544	19791
276	7571	19762
277	7601	19741
278	7628	19714
279	7658	19693
280	7686	19667
281	7715	19645
282	7744	19621
283	7772	19595
284	7802	19574
285	7828	19543
286	7857	19521
287	7881	19484
288	7909	19458
289	7937	19433
290	7964	19405
291	7993	19381
292	8019	19351
293	8048	19327
294	8073	19293
295	8100	19264
296	8127	19238
297	8159	19220
298	8186	19193
299	8217	19173
300	8242	19141
301	8270	19115
302	8299	19091
303	8327	19065
304	8355	19040
305	8380	19007
306	8408	18979
307	8436	18954
308	8465	18930
309	8493	18904
310	8520	18876
311	8549	18851
312	8577	18826
313	8604	18799
314	8631	18770
315	8660	18746
