drug_name,canonical_drug_id,group,rank,final_score,category,target,pathway,subtypes,safety_score,admet_source,admet_verdict,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,Bioavailability,Lipinski_Pass,mean_pred_ic50,std_pred_ic50,mean_true_ic50,ic50_error,smiles,SAS,admet_assays_found,admet_safety_score_v2,admet_verdict_v2,admet_v1_assays_total,admet_v1_assays_exact,admet_v1_assays_analog,admet_v1_safety_score,admet_v1_verdict
AZD2014,1441,Repurposing,1.0,0.3409374479794934,Category 2: 유방암 연구 중,MTOR,PI3K/MTOR signaling,"ER+, HER2+",10.0,GDSC ADMET,PASS,462.5540000000003,2.5016000000000007,1.0,8.0,92.71,4.0,0.63237319432304,1.0,1.0,,,,0.0,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOC[C@@H]5C,3.5268483556298325,0.0,5.0,WARNING,2.0,0.0,2.0,5.663192482602661,WARNING
Dactinomycin,1811,Repurposing,2.0,0.3290375354573231,Category 2: 유방암 연구 중,ESR1,Other,ER+,,미측정,미측정,1255.4379999999985,0.7256400000000024,5.0,18.0,359.9799999999999,8.0,0.1178611576016293,0.0,0.0,,,,0.0,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,7.020690142374294,0.0,5.0,WARNING,5.0,5.0,0.0,4.230858200003368,WARNING
SL0101,1039,Repurposing,3.0,0.2944470816733066,Category 3: 유방암 미적용,,Other kinases,Unknown,,미측정,미측정,516.4550000000002,1.9246999999999992,4.0,12.0,182.18999999999997,5.0,0.362150791726645,0.0,0.0,,,,0.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,4.068359452767043,0.0,5.0,WARNING,0.0,0.0,0.0,5.0,WARNING
Temsirolimus,1016,Repurposing,4.0,0.2799113077933346,Category 2: 유방암 연구 중,MTOR,PI3K/MTOR signaling,"ER+, HER2+",,미측정,미측정,1030.303,5.722400000000007,4.0,16.0,241.95999999999992,10.0,0.1161733722404602,0.0,0.0,,,,0.0,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,7.520484556759644,1.0,5.1,WARNING,5.0,2.0,3.0,4.391606506757801,WARNING
Teniposide,1809,Repurposing,5.0,0.2129179253438862,Category 2: 유방암 연구 중,,DNA replication,Unknown,,미측정,미측정,656.6620000000005,2.7529000000000012,3.0,14.0,160.83,6.0,0.3327956777277973,0.0,0.0,,,,0.0,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O,5.002373782095386,4.0,5.4,WARNING,17.0,8.0,9.0,1.82826315945863,FAIL
CDK9_5576,1708,Repurposing,6.0,0.1902892661446016,Category 3: 유방암 미적용,CDK9,Cell cycle,Unknown,,미측정,미측정,,,,,,,,,,,,,0.0,,,,,,,,,,
Tanespimycin,1026,Repurposing,7.0,0.1153908037285723,Category 2: 유방암 연구 중,HSP90,Protein stability and degradation,Unknown,,미측정,미측정,585.6980000000004,2.537600000000001,4.0,9.0,166.28,6.0,0.2705941706258444,0.0,0.0,,,,0.0,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,6.013717409780119,0.0,5.0,WARNING,1.0,1.0,0.0,4.65,WARNING
Rapamycin,1084,Repurposing,8.0,0.1120425850306739,Category 2: 유방암 연구 중,MTOR,PI3K/MTOR signaling,"ER+, HER2+",,미측정,미측정,914.187,6.180600000000006,3.0,13.0,195.42999999999995,6.0,0.1555112399819528,0.0,0.0,,,,0.0,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,7.1931515128780825,1.0,2.62,FAIL,5.0,1.0,4.0,3.924235157221183,FAIL
MK-2206,1053,Repurposing,9.0,0.1024414026085509,Category 2: 유방암 연구 중,AKT1,PI3K/MTOR signaling,"ER+, HER2+",,미측정,미측정,407.4770000000001,4.242700000000003,2.0,5.0,89.07000000000001,3.0,0.4680681321504015,1.0,1.0,,,,0.0,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,2.673008318987012,1.0,5.1,WARNING,1.0,1.0,0.0,5.223475598721113,WARNING
Pictilisib,1058,Repurposing,10.0,0.0978922709192639,Category 2: 유방암 연구 중,PIK3CA,PI3K/MTOR signaling,"ER+, HER2+",,미측정,미측정,513.6490000000002,2.1484000000000005,1.0,9.0,107.55,5.0,0.4326446499729264,0.0,0.0,,,,0.0,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,2.866329447404711,3.0,5.3,WARNING,3.0,3.0,0.0,6.494867466598714,PASS
TW 37,1149,Repurposing,11.0,0.0764429706126459,Category 3: 유방암 미적용,BCL2,Apoptosis regulation,TNBC,,미측정,미측정,573.711,6.900200000000008,4.0,6.0,123.92999999999998,7.0,0.1783621552330709,0.0,0.0,,,,0.0,CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C,2.745966709103673,1.0,5.1,WARNING,1.0,1.0,0.0,5.249313121527236,WARNING
CDK9_5038,1709,Repurposing,12.0,0.0759118361269414,Category 3: 유방암 미적용,CDK9,Cell cycle,Unknown,,미측정,미측정,,,,,,,,,,,,,0.0,,,,,,,,,,
Sabutoclax,1849,Repurposing,13.0,0.0530273895748817,Category 3: 유방암 미적용,BCL2,Apoptosis regulation,TNBC,,미측정,미측정,700.7880000000001,7.577440000000012,8.0,8.0,179.57999999999998,9.0,0.0711286155991401,0.0,0.0,,,,0.0,CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(=O)NC[C@H](C)C5=CC=CC=C5)O)O)O)O)O)O)C(=O)NC[C@H](C)C6=CC=CC=C6,3.8814477105055234,1.0,5.1,WARNING,1.0,1.0,0.0,5.250380194896255,WARNING
Tozasertib,1096,Repurposing,14.0,0.052048575148876,Category 3: 유방암 미적용,"ESR1, AURKA",Mitosis,"ER+, TNBC",,미측정,미측정,464.59900000000033,3.5032200000000016,3.0,8.0,102.07,7.0,0.4568163085513304,1.0,1.0,,,,0.0,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,2.663384527179497,1.0,5.1,WARNING,1.0,1.0,0.0,5.250113693091837,WARNING
Avagacestat,1072,Repurposing,15.0,0.0519022389837635,Category 3: 유방암 미적용,,Other,Unknown,,미측정,미측정,520.8920000000002,3.916400000000002,1.0,6.0,119.39,9.0,0.4270911649710048,0.0,0.0,,,,0.0,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,3.3874747340619784,1.0,5.1,WARNING,1.0,1.0,0.0,5.4499999984309975,WARNING
Vinblastine,1004,Positive Control,,0.4960279434402367,Category 1: 유방암 치료제 (FDA 승인),"ESR1, Microtubule",Mitosis,"ER+, TNBC",7.83,GDSC ADMET,PASS,810.9890000000001,3.990900000000004,3.0,12.0,154.1,7.0,0.179801053533736,0.0,0.0,,,,0.0,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,7.151664346393364,2.0,2.46,FAIL,10.0,8.0,2.0,5.9965266796572605,WARNING
Docetaxel,1819,Positive Control,,0.4083551575255391,Category 1: 유방암 치료제 (FDA 승인),"ESR1, Microtubule",Mitosis,"ER+, TNBC",,미측정,미측정,807.8900000000004,3.259600000000003,5.0,14.0,224.44999999999996,8.0,0.1468094861389331,0.0,0.0,,,,0.0,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,5.913800437563774,1.0,5.1,WARNING,10.0,2.0,8.0,2.7838824824708155,FAIL
Paclitaxel,1080,Positive Control,,0.3822159275518948,Category 1: 유방암 치료제 (FDA 승인),"ESR1, Microtubule",Mitosis,"ER+, TNBC",,미측정,미측정,853.9180000000003,3.735700000000004,4.0,14.0,221.28999999999996,10.0,0.1297861944512451,0.0,0.0,,,,0.0,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,5.915623958602232,3.0,5.3,WARNING,10.0,9.0,1.0,2.097308140632177,FAIL
Docetaxel,1007,Positive Control,,0.368195365666971,Category 1: 유방암 치료제 (FDA 승인),"ESR1, Microtubule",Mitosis,"ER+, TNBC",,미측정,미측정,807.8900000000004,3.259600000000003,5.0,14.0,224.44999999999996,8.0,0.1468094861389331,0.0,0.0,,,,0.0,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,5.913800437563774,1.0,5.1,WARNING,10.0,2.0,8.0,2.7838824824708155,FAIL
Vinorelbine,2048,Positive Control,,0.3427252066714831,Category 1: 유방암 치료제 (FDA 승인),"ESR1, Microtubule",Mitosis,"ER+, TNBC",,미측정,미측정,778.9470000000002,4.753600000000004,2.0,11.0,133.87,7.0,0.1956898904603122,0.0,0.0,,,,0.0,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,6.661317492839077,2.0,6.2,PASS,9.0,3.0,6.0,6.610404898275964,PASS
