drug_id,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score
1191,-4.8400946,-5.1592407,0.4397889,28,1.0,1,Validated,42.0
1817,-4.7611876,-5.024497,0.53340673,26,1.0,2,Validated,41.0
1941,-3.73555,-3.8589985,0.8526675,28,1.0,3,Validated,40.0
1911,-3.226342,-4.040127,0.90890497,28,1.0,4,Validated,39.0
1007,-3.130342,-4.1176643,1.3351738,29,1.0,5,Validated,38.0
1819,-2.8111129,-1.764844,1.2104619,25,0.92,6,Validated,3.0
1004,-2.722351,-2.7355084,1.1758056,27,1.0,7,Validated,36.0
1080,-2.6713734,-2.779678,1.2538555,28,1.0,8,Validated,35.0
2048,-2.6370814,-2.7805393,1.077534,28,1.0,9,Validated,34.0
1811,-2.5954032,-1.8154681,0.7720014,26,1.0,10,Validated,33.0
1084,-2.389481,-2.5873635,0.8911311,28,1.0,11,Validated,32.0
1034,-2.3275597,-2.5313642,0.66555834,29,1.0,12,Validated,31.0
1494,-2.2791002,-2.6124706,1.0167768,28,1.0,13,Validated,30.0
1180,-2.1948004,-2.3472707,0.8315313,27,1.0,14,Validated,29.0
1559,-1.8684957,-2.1197999,0.73227996,28,1.0,15,Validated,28.0
1248,-1.7338777,-2.4797933,0.79795915,15,1.0,16,Validated,27.0
1057,-1.130385,-1.4217746,0.7484527,28,1.0,17,Validated,26.0
1862,-1.0943863,-1.20403,0.49993077,29,1.0,18,Validated,25.0
1003,-0.7431299,-0.8017532,1.0362006,28,1.0,19,Validated,24.0
1026,-0.15791753,-0.13994817,0.568271,28,1.0,20,Validated,23.0
1039,-0.07851765,4.010615,,1,0.0,21,Recommended,-19.0
1849,-0.0549498,-0.12460256,0.584173,27,1.0,22,Validated,21.0
1827,-0.018686505,-0.080729686,1.0281974,26,1.0,23,Validated,20.0
1825,-0.01385057,-0.18579899,1.0392281,26,0.9230769230769231,24,Validated,-13.0
1511,0.037373964,0.062827714,0.8970792,28,1.0,25,Validated,18.0
1059,0.07413216,-0.14524218,0.76077145,28,1.0,26,Validated,17.0
1008,0.3714697,0.17289959,0.65072435,27,0.9629629629629629,27,Validated,-12.0
1086,0.54645246,0.49505028,0.8589493,24,0.9583333333333334,28,Validated,-15.0
1024,0.58590263,0.62848645,0.61004645,28,0.9642857142857143,29,Validated,-11.0
1926,0.6033019,0.4689668,0.79653054,28,0.9642857142857143,30,Validated,-12.0
